De-identification Level,Accuracy,Accuracy StdDev,Disparate Impact,Fairness Loss Priv,Fairness Loss Unpriv,Utility Loss Priv.,Utility Loss Unpriv
None,0.73,0.03,0.43,1.85,2.28,0.00,0.00
k=4,0.77,0.00,0.62,0.19,0.33,-0.06,-0.03
k=8,0.79,0.01,0.53,0.52,0.79,-0.05,-0.06
k=16,0.75,0.01,1.06,0.50,1.51,0.01,-0.03
None,0.72,0.03,0.42,1.89,2.23,0.00,0.00
k=4,0.74,0.00,0.35,1.83,1.76,-0.03,-0.01
k=8,0.74,0.00,0.30,1.84,1.54,-0.04,0.00
k=16,0.75,0.00,0.29,1.75,1.41,-0.05,-0.02
$\epsilon$=10,0.73,0.08,0.53,1.05,1.62,0.00,0.00
$\epsilon$=5,0.76,0.02,0.44,0.82,0.99,-0.05,-0.02
$\epsilon$=1.0,0.74,0.11,0.56,0.97,1.53,-0.01,0.00
$\epsilon$=0.1,0.73,0.11,0.60,1.13,1.94,0.01,0.00
$\epsilon$=10,0.76,0.03,0.50,0.80,1.10,0.00,0.00
$\epsilon$=5,0.76,0.02,0.43,0.98,1.10,0.01,-0.01
$\epsilon$=1.0,0.76,0.02,0.43,1.01,1.16,0.00,0.00
$\epsilon$=0.1,0.72,0.08,0.53,0.97,1.55,0.05,0.03
