,De-identification Level,Accuracy,Accuracy StdDev,Disparate Impact,Fairness Loss Priv,Fairness Loss Unpriv,Utility Loss Priv.,Utility Loss Unpriv
og,None,0.50,0.17,1.22,0.66,0.76,0.00,0.00
,k=4,0.51,0.17,1.25,0.66,0.79,0.02,-0.02
,k=8,0.58,0.15,0.94,0.93,1.09,-0.03,-0.10
,k=16,0.53,0.15,0.98,0.78,1.12,-0.03,-0.03
deid,None,0.63,0.12,0.83,1.15,1.20,0.00,0.00
,k=4,0.60,0.13,0.91,1.03,1.16,-0.01,0.05
,k=8,0.60,0.10,1.05,0.94,1.05,-0.01,0.05
,k=16,0.52,0.17,0.66,0.71,0.87,0.06,0.13
og,$\epsilon$=10,0.54,0.17,1.14,0.74,0.93,0.00,0.00
,$\epsilon$=5,0.55,0.16,0.82,0.86,1.02,0.01,-0.02
,$\epsilon$=1.0,0.57,0.15,0.85,0.85,0.89,0.00,-0.05
,$\epsilon$=0.1,0.63,0.12,0.88,1.09,1.16,-0.02,-0.12
deid,$\epsilon$=10,0.63,0.08,0.99,1.11,1.19,0.00,0.00
,$\epsilon$=5,0.57,0.16,0.82,0.98,1.03,0.07,0.06
,$\epsilon$=1.0,0.53,0.16,0.71,0.86,0.92,0.08,0.10
,$\epsilon$=0.1,0.55,0.16,0.75,0.89,0.88,0.09,0.08
