De-identification Level,Accuracy,Accuracy StdDev,Disparate Impact,Fairness Loss Priv,Fairness Loss Unpriv,Utility Loss Priv.,Utility Loss Unpriv
None,0.586965676984628,0.0298266711646,0.658167948781187,2.62278761061947,3.91737891737892,0,0
k=4,0.750873868182775,0.005311734699513,0.587297887325287,1.77101769911504,2.35669515669516,-0.159577278731836,-0.171528181289948
k=8,0.736365550642241,0.0252335533044,0.607955995964817,1.83053097345133,2.52649572649573,-0.143064729194188,-0.160546194073213
k=16,0.685744367235207,0.029942392350137,0.662789403947111,2.03296460176991,3.06068376068376,-0.087945838837517,-0.117838466008135
None,0.585281111813013,0.030585260553835,0.684414316732079,2.60548649022186,3.72221410377011,0,0
k=4,0.773320699094546,0.006483577764528,2.70595819890046,1.55415677056589,2.45886354401335,0.044955805864746,-0.271902389394663
k=8,0.777005685407454,0.006393862476601,2.85401957208679,1.55845730539955,2.46850389057394,0.063282986474427,-0.275296785576214
k=16,0.777132027795325,0.005501945902951,2.99379849508224,1.57179091878153,2.46554041865952,0.078543552871093,-0.276056227267706
$\epsilon$=10,0.82,0.02,0.56,0.76,0.90,0.00,0.00
$\epsilon$=5,0.78,0.13,0.62,0.76,1.19,0.05,0.04
$\epsilon$=1.0,0.81,0.03,0.63,0.77,1.00,0.02,0.02
$\epsilon$=0.1,0.77,0.15,0.62,1.04,1.41,0.05,0.05
$\epsilon$=10,0.81,0.03,0.72,0.51,0.69,0.00,0.00
$\epsilon$=5,0.81,0.07,0.67,0.80,1.12,0.01,0.00
$\epsilon$=1.0,0.82,0.02,0.68,0.53,0.70,-0.01,0.00
$\epsilon$=0.1,0.83,0.03,0.61,0.54,0.71,-0.01,-0.01
