Imb,Priv,Unpriv,Deid,Orig_Acc,Tran_Acc,Orig_Bal,Tran_Bal,Orig_SP,Tran_SP,Orig_DI,Tran_DI,Orig_PP,Tran_PP,Or_Priv_PP,Tr_Priv_PP,Or_Unpr_PP,Tr_Unpr_PP,Orig_FN,Tran_FN,Or_Priv_FN,Tr_Priv_FN,Or_Unpr_FN,Tr_Unpr_FN
100,50,40,og,0.7075,0.7085,0.70773,0.7087,-0.09161,0.06754,0.79641,0.99731,0.54042,0.53525,0.54148,0.53526,0.43403,0.53476,0.25208,0.25628,0.25125,0.25683,0.34286,0.18929
100,50,40,deid4,0.69858,0.69758,0.69946,0.69845,-0.11367,0.11654,0.72288,1.07544,0.53483,0.53017,0.53632,0.52984,0.38995,0.5794,0.26605,0.27173,0.2649,0.27249,0.37857,0.15595
100,50,40,deid8,0.69675,0.69567,0.69769,0.69652,-0.37957,-0.14089,0.43463,0.90517,0.50767,0.50692,0.51053,0.50716,0.23005,0.47386,0.29484,0.29678,0.29186,0.29601,0.67143,0.4369
100,50,40,deid16,0.69267,0.69292,0.69284,0.69307,-0.01085,0.1065,0.95888,1.14833,0.47525,0.47533,0.4752,0.47461,0.46258,0.54258,0.33232,0.332,0.332,0.33269,0.34286,0.22619
100,50,20,og,0.70775,0.70542,0.7088,0.70625,-0.40878,0.10716,0.21763,0.78976,0.55633,0.55317,0.56069,0.55437,0.12921,0.43877,0.23424,0.23997,0.23288,0.24049,0.64167,0.13333
100,50,20,deid4,0.69942,0.698,0.70058,0.69908,-0.35954,0.08565,0.23437,1.04437,0.532,0.53175,0.53598,0.53161,0.13102,0.54461,0.26692,0.26861,0.26546,0.26899,0.625,0.18333
100,50,20,deid8,0.69792,0.697,0.69953,0.69843,-0.70982,-0.03141,0,0.65555,0.50717,0.49875,0.51244,0.50023,0,0.34505,0.29267,0.30219,0.29018,0.30193,1,0.33333
100,50,20,deid16,0.69483,0.69283,0.69477,0.69263,-0.47045,-0.08146,0.20759,0.81216,0.47342,0.47125,0.47705,0.47216,0.1009,0.3843,0.33138,0.33567,0.32955,0.3352,0.8,0.41667
100,50,10,og,0.7085,0.70367,0.70945,0.70476,-0.65771,0.10813,0.01673,0.67868,0.546,0.53633,0.5516,0.53824,0.01176,0.36166,0.24364,0.25794,0.24229,0.25813,0.9,0.15
100,50,10,deid4,0.7,0.699,0.70132,0.7001,-0.73712,0.17366,0,0.76063,0.5335,0.52583,0.53902,0.52689,0,0.41519,0.26438,0.27329,0.26288,0.27366,1,0.1
100,50,10,deid8,0.69692,0.6945,0.69882,0.69627,-0.73562,-0.0801,0,0.83387,0.53442,0.53283,0.54008,0.5336,0,0.45382,0.26584,0.27,0.26438,0.2699,1,0.35
100,50,10,deid16,0.69458,0.69225,0.69477,0.6921,-0.67575,-0.11256,0,0.78247,0.47892,0.46958,0.48388,0.47058,0,0.3714,0.3256,0.33759,0.32425,0.33744,1,0.45
100,50,5,og,0.70875,0.7065,0.70972,0.70712,-0.76984,0.04143,0,0.4358,0.55775,0.5505,0.56363,0.55362,0,0.24738,0.23145,0.24136,0.23016,0.24143,1,0.2
100,50,5,deid4,0.70158,0.70067,0.70275,0.70182,-0.73313,0.07902,0,0.5163,0.52825,0.51833,0.53373,0.52077,0,0.28345,0.2681,0.27888,0.26687,0.27902,1,0.2
100,50,5,deid8,0.69692,0.69492,0.69868,0.69644,-0.72747,-0.01576,0,0.76864,0.52658,0.51825,0.53217,0.51945,0,0.40441,0.27375,0.28427,0.27253,0.28424,1,0.3
100,50,5,deid16,0.69358,0.69067,0.69411,0.69075,-0.69913,-0.08132,0,0.84297,0.50308,0.48967,0.50838,0.4906,0,0.40547,0.30204,0.31881,0.30087,0.31868,1,0.4
100,40,20,og,0.7045,0.70342,0.70487,0.70396,-0.22487,0.10952,0.34536,0.93524,0.45425,0.4555,0.45719,0.45592,0.16097,0.41765,0.30088,0.3007,0.30013,0.30119,0.525,0.19167
100,40,20,deid4,0.7125,0.71117,0.70945,0.70765,-0.4839,-0.16224,0.29615,0.82361,0.43992,0.43858,0.44303,0.43941,0.13277,0.35986,0.3098,0.3133,0.30777,0.31276,0.79167,0.475
100,40,20,deid8,0.70417,0.70333,0.69541,0.69479,-0.37491,-0.22491,0.34021,0.53284,0.41458,0.41575,0.41742,0.4175,0.14355,0.2346,0.35189,0.35149,0.35009,0.35009,0.725,0.575
100,40,20,deid16,0.677,0.67625,0.67981,0.67894,-0.2367,-0.10149,0.52822,0.84896,0.47058,0.47033,0.47263,0.47129,0.25708,0.3843,0.31463,0.31589,0.3133,0.31518,0.55,0.41667
100,40,10,og,0.70558,0.70467,0.70633,0.70469,-0.60456,0.15224,0.03296,0.79995,0.45608,0.45317,0.46065,0.45409,0.01765,0.36573,0.29696,0.30187,0.29544,0.30224,0.9,0.15
100,40,10,deid4,0.71017,0.70975,0.70957,0.70786,-0.70457,-0.14563,0.11747,0.4105,0.452,0.44642,0.45613,0.44915,0.05498,0.18557,0.29718,0.30485,0.29543,0.30437,1,0.45
100,40,10,deid8,0.7045,0.70292,0.69702,0.69559,-0.45742,-0.30638,0.23129,0.60711,0.4205,0.42158,0.42364,0.42305,0.10271,0.265,0.34378,0.34441,0.34258,0.34362,0.8,0.65
100,40,10,deid16,0.679,0.67808,0.68195,0.6803,-0.68985,-0.13349,0,0.83422,0.4705,0.46758,0.47543,0.46842,0,0.37826,0.31183,0.31673,0.31015,0.31651,1,0.45
100,40,5,og,0.70758,0.7075,0.70685,0.70549,-0.69801,0.01086,0,0.52635,0.44892,0.44317,0.45363,0.44531,0,0.23562,0.30344,0.31084,0.30199,0.31086,1,0.3
100,40,5,deid4,0.71242,0.7105,0.71111,0.7081,-0.70138,-0.29198,0,0.61606,0.44725,0.44233,0.45193,0.44401,0,0.27738,0.30008,0.30861,0.29862,0.30802,1,0.6
100,40,5,deid8,0.70767,0.70583,0.69835,0.69621,-0.65041,0.25486,0,1.26424,0.41167,0.41083,0.41593,0.40969,0,0.51708,0.35094,0.35434,0.34959,0.35486,1,0.1
100,40,5,deid16,0.6795,0.68,0.68157,0.68083,-0.6852,-0.07742,0,0.92014,0.4665,0.46083,0.47138,0.46144,0,0.40714,0.31623,0.32274,0.3148,0.32258,1,0.4
